value,date,currency_source,currency
3.672635,2023-01-01,USD,AED
87.49408,2023-01-01,USD,AFN
107.150283,2023-01-01,USD,ALL
393.731324,2023-01-01,USD,AMD
1.802385,2023-01-01,USD,ANG
503.690999,2023-01-01,USD,AOA
176.728445,2023-01-01,USD,ARS
1.46638,2023-01-01,USD,AUD
1.8,2023-01-01,USD,AWG
1.700045,2023-01-01,USD,AZN
1.832031,2023-01-01,USD,BAM
2.019174,2023-01-01,USD,BBD
103.159191,2023-01-01,USD,BDT
1.827155,2023-01-01,USD,BGN
0.37658,2023-01-01,USD,BHD
2062.0,2023-01-01,USD,BIF
1.0,2023-01-01,USD,BMD
1.34029,2023-01-01,USD,BND
6.910305,2023-01-01,USD,BOB
5.286699,2023-01-01,USD,BRL
1.000033,2023-01-01,USD,BSD
6.0217375e-05,2023-01-01,USD,BTC
82.580068,2023-01-01,USD,BTN
12.755638,2023-01-01,USD,BWP
2.524225,2023-01-01,USD,BYN
19600.0,2023-01-01,USD,BYR
2.01584,2023-01-01,USD,BZD
1.353395,2023-01-01,USD,CAD
2029.99989,2023-01-01,USD,CDF
0.92395,2023-01-01,USD,CHF
0.03075,2023-01-01,USD,CLF
848.250029,2023-01-01,USD,CLP
6.897897,2023-01-01,USD,CNY
4848.67,2023-01-01,USD,COP
591.730443,2023-01-01,USD,CRC
1.0,2023-01-01,USD,CUC
26.5,2023-01-01,USD,CUP
103.298862,2023-01-01,USD,CVE
22.52401,2023-01-01,USD,CZK
177.719972,2023-01-01,USD,DJF
6.949525,2023-01-01,USD,DKK
56.25032,2023-01-01,USD,DOP
137.17938,2023-01-01,USD,DZD
24.752919,2023-01-01,USD,EGP
15.0,2023-01-01,USD,ERN
53.649762,2023-01-01,USD,ETB
0.934185,2023-01-01,USD,EUR
2.222498,2023-01-01,USD,FJD
0.826337,2023-01-01,USD,FKP
0.826446,2023-01-01,USD,GBP
2.703721,2023-01-01,USD,GEL
0.826337,2023-01-01,USD,GGP
10.149612,2023-01-01,USD,GHS
0.826337,2023-01-01,USD,GIP
61.94977,2023-01-01,USD,GMD
8769.999776,2023-01-01,USD,GNF
7.84819,2023-01-01,USD,GTQ
209.232614,2023-01-01,USD,GYD
7.801749,2023-01-01,USD,HKD
24.70015,2023-01-01,USD,HNL
7.0422,2023-01-01,USD,HRK
148.006913,2023-01-01,USD,HTG
373.36698,2023-01-01,USD,HUF
15538.5,2023-01-01,USD,IDR
3.527898,2023-01-01,USD,ILS
0.826337,2023-01-01,USD,IMP
82.75005,2023-01-01,USD,INR
1460.5,2023-01-01,USD,IQD
41850.000209,2023-01-01,USD,IRR
141.549885,2023-01-01,USD,ISK
0.826337,2023-01-01,USD,JEP
151.711896,2023-01-01,USD,JMD
0.709301,2023-01-01,USD,JOD
130.919826,2023-01-01,USD,JPY
123.499621,2023-01-01,USD,KES
85.679943,2023-01-01,USD,KGS
4118.497201,2023-01-01,USD,KHR
460.224984,2023-01-01,USD,KMF
899.999994,2023-01-01,USD,KPW
1261.909645,2023-01-01,USD,KRW
0.30635,2023-01-01,USD,KWD
0.833419,2023-01-01,USD,KYD
462.857143,2023-01-01,USD,KZT
17340.000067,2023-01-01,USD,LAK
1522.503496,2023-01-01,USD,LBP
367.529437,2023-01-01,USD,LKR
154.504446,2023-01-01,USD,LRD
17.010251,2023-01-01,USD,LSL
2.95274,2023-01-01,USD,LTL
0.60489,2023-01-01,USD,LVL
4.825011,2023-01-01,USD,LYD
10.43875,2023-01-01,USD,MAD
19.160087,2023-01-01,USD,MDL
4479.999951,2023-01-01,USD,MGA
57.712212,2023-01-01,USD,MKD
2100.167396,2023-01-01,USD,MMK
3448.169317,2023-01-01,USD,MNT
8.027877,2023-01-01,USD,MOP
43.950024,2023-01-01,USD,MUR
15.401869,2023-01-01,USD,MVR
1024.466171,2023-01-01,USD,MWK
19.496875,2023-01-01,USD,MXN
4.40501,2023-01-01,USD,MYR
63.82954,2023-01-01,USD,MZN
17.010149,2023-01-01,USD,NAD
448.080051,2023-01-01,USD,NGN
36.400356,2023-01-01,USD,NIO
9.788197,2023-01-01,USD,NOK
132.128371,2023-01-01,USD,NPR
1.573642,2023-01-01,USD,NZD
0.384958,2023-01-01,USD,OMR
1.000066,2023-01-01,USD,PAB
3.803975,2023-01-01,USD,PEN
3.519421,2023-01-01,USD,PGK
55.680156,2023-01-01,USD,PHP
226.550018,2023-01-01,USD,PKR
4.373947,2023-01-01,USD,PLN
7364.289528,2023-01-01,USD,PYG
3.64075,2023-01-01,USD,QAR
4.63494,2023-01-01,USD,RON
109.58009,2023-01-01,USD,RSD
73.750269,2023-01-01,USD,RUB
1070.0,2023-01-01,USD,RWF
3.760901,2023-01-01,USD,SAR
8.278288,2023-01-01,USD,SBD
13.405775,2023-01-01,USD,SCR
571.492933,2023-01-01,USD,SDG
10.42379,2023-01-01,USD,SEK
1.338976,2023-01-01,USD,SGD
1.377398,2023-01-01,USD,SHP
18.85505,2023-01-01,USD,SLE
18825.000519,2023-01-01,USD,SLL
569.500523,2023-01-01,USD,SOS
31.809031,2023-01-01,USD,SRD
20697.981008,2023-01-01,USD,STD
8.751124,2023-01-01,USD,SVC
2512.527043,2023-01-01,USD,SYP
17.00989,2023-01-01,USD,SZL
34.611502,2023-01-01,USD,THB
10.19597,2023-01-01,USD,TJS
3.5,2023-01-01,USD,TMT
3.1085,2023-01-01,USD,TND
2.34125,2023-01-01,USD,TOP
18.691295,2023-01-01,USD,TRY
6.796026,2023-01-01,USD,TTD
30.662802,2023-01-01,USD,TWD
2331.999749,2023-01-01,USD,TZS
36.751623,2023-01-01,USD,UAH
3720.217883,2023-01-01,USD,UGX
39.967963,2023-01-01,USD,UYU
11254.999749,2023-01-01,USD,UZS
1724674.380398,2023-01-01,USD,VEF
17.095799,2023-01-01,USD,VES
23635.0,2023-01-01,USD,VND
117.236648,2023-01-01,USD,VUV
2.696122,2023-01-01,USD,WST
614.462357,2023-01-01,USD,XAF
0.041736,2023-01-01,USD,XAG
0.000548,2023-01-01,USD,XAU
2.70255,2023-01-01,USD,XCD
0.751548,2023-01-01,USD,XDR
615.508119,2023-01-01,USD,XOF
111.950194,2023-01-01,USD,XPF
250.302768,2023-01-01,USD,YER
16.989425,2023-01-01,USD,ZAR
9001.196938,2023-01-01,USD,ZMK
18.11118,2023-01-01,USD,ZMW
321.999592,2023-01-01,USD,ZWL
